field,laureate_id,laureate_name,prize_year,title,pub_year,paper_id,additional_info,doi,uid,nonenglish,no_record
Physics,10076,"binnig, g",1986,surface studies by scanning tunneling microscopy,1982,2110167104,,10.1007/978-94-011-1812-5_1,WOS:A1982NV44300017,0,0
Chemistry,20045,"pople, j",1998,the influence of polarization functions on molecular orbital hydrogenation energies,1973,2094642658,,10.1007/BF00533485,WOS:A1973O806700001,0,0
Physics,10129,"mossbauer, rl",1961,kernresonanzabsorption von gammastrahlung in ir191,1958,1966484500,,10.1007/BF00632050,,1,0
Medicine,30059,"sakmann, b",1991,improved patch-clamp techniques for high-resolution current recording from cells and cell-free membrane patches,1981,2009667219,,10.1007/BF00656997,WOS:A1981ME31100001,0,0
Physics,10074,"muller, ka",1987,possible high tc superconductivity in the ba la cu o system,1986,1485300768,,10.1007/BF01303701,WOS:A1986D856200010,0,0
Physics,10158,"stern, o",1943,the magnetic moment of silver atoms,1922,2596075454,,10.1007/BF01326984,WOS:000201793200030,0,0
Physics,10168,"heisenberg, w",1932,zur theorie des ferromagnetismus--On the Theory of Ferromagnetism,1928,2079751966,,10.1007/BF01328601,WOS:000207403700002,0,0
Physics,10158,"stern, o",1943,der experimentelle nachweis des magnetischen moments des silberatoms,1922,2069807188,,10.1007/BF01329580,,1,0
Physics,10145,"bothe, w",1954,"uber das wesen des comptoneffekts ein experimenteller beitrag zur theorie der strahlung--Regarding the nature of the Compton effect, an experimental contribution to the theory of irradiation",1925,1986884324,,10.1007/BF01331702,WOS:000201795300057,0,0
Physics,10144,"born, m",1954,beweis des adiabatensatzes--Proof of Adiabatic law,1928,2031828766,,10.1007/BF01343193,WOS:000207405000001,0,0
Physics,10129,"mossbauer, rl",1961,kernresonanzfluoreszenz von gammastrahlung in ir191,1958,2016797896,,10.1007/BF01344210,WOS:A1958WQ74000004,0,0
Physics,10160,"fermi, e",1938,an attempt of a theory of beta radiation 1,1934,2128675669,,10.1007/BF01351864,WOS:000207421400002,0,0
Physics,10144,"born, m",1954,quantenmechanik der stosvorgange--Quantum mechanics in impact processes,1926,1989868128,,10.1007/BF01397184,WOS:000201848800001,0,0
Physics,10144,"born, m",1954,zur quantenmechanik der stosvorgange--The quantum mechanics of the impact process,1926,1989440127,,10.1007/BF01397477,WOS:000201816900001,0,0
Chemistry,20134,"hahn, o",1944,uber den nachweis und das verhalten der bei der bestrahlung des urans mittels neutronen entstehenden erdalkalimetalle--About the evidence and the behavior in uranium radiation using neutron occuring earth alkaloid metals,1939,2074403122,,10.1007/BF01488241,WOS:000200263600002,0,0
Medicine,30103,"lorenz, k",1973,ber die Bildung des Instinktbegriffes--On the formation of instinctual perceptions.,1937,2029111077,,10.1007/BF01491749, WOS:000200263700043,0,0
Physics,10166,"schrodinger, e",1933,der stetige ubergang von der mikro zur makromechanik--The constant crossover of micro- to macro mechanics,1926,1884836326,,10.1007/BF01507634,WOS:000200263300134,0,0
Medicine,30185,"meyerhof, o",1922,uber die atmung der froschmuskulatur--Respiration in the musculature of frogs.,1919,2073406286,,10.1007/BF01722140,WOS:000201193700002,0,0
Medicine,30172,"loewi, o",1936,uber humorale ubertragbarkeit der herznervenwirkung--On humoral transmissibility of heart-nerve effect. VI. Announcement. The point of contact of atropine.,1924,1499186559,,10.1007/BF01722757,WOS:000201202600010,0,0
